2025-10-08T00:40:23.785-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Repository\SAutobusRepository.class]
2025-10-08T00:40:23.785-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Repository\SCocheRepository.class]
2025-10-08T00:40:23.785-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Repository\SElectrodomesticoRepository.class]
2025-10-08T00:40:23.785-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Repository\SRopaRepository.class]
2025-10-08T00:40:23.785-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Repository\SServicioViviendaRepository.class]
2025-10-08T00:40:23.785-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\Usuario\Desktop\TP-Grupo4-Ecotrack\target\classes\com\example\tpgrupo4ecotrack\Repository\UsuarioRepository.class]
2025-10-08T00:40:23.826-05:00  INFO 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 48 ms. Found 14 JPA repository interfaces.
2025-10-08T00:40:23.894-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'springSecurityPathPatternParserBeanDefinitionRegistryPostProcessor'
2025-10-08T00:40:23.895-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'springSecurityHandlerMappingIntrospectorBeanDefinitionRegistryPostProcessor'
2025-10-08T00:40:23.945-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
2025-10-08T00:40:23.948-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'emBeanDefinitionRegistrarPostProcessor'
2025-10-08T00:40:23.948-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.sql.init.dependency.DatabaseInitializationDependencyConfigurer$DependsOnDatabaseInitializationPostProcessor'
2025-10-08T00:40:23.949-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.devtools.autoconfigure.DevToolsDataSourceAutoConfiguration$DatabaseShutdownExecutorEntityManagerFactoryDependsOnPostProcessor'
2025-10-08T00:40:23.972-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
2025-10-08T00:40:23.973-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'conversionServicePostProcessor'
2025-10-08T00:40:23.977-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'bootstrapExecutorAliasPostProcessor'
2025-10-08T00:40:23.978-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'preserveErrorControllerTargetClassPostProcessor'
2025-10-08T00:40:23.978-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
2025-10-08T00:40:23.979-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionalEventListenerFactory'
2025-10-08T00:40:23.980-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
2025-10-08T00:40:23.981-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
2025-10-08T00:40:23.984-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalPersistenceAnnotationProcessor'
2025-10-08T00:40:23.984-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
2025-10-08T00:40:23.984-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinder'
2025-10-08T00:40:23.986-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'jdbcConnectionDetailsHikariBeanPostProcessor'
2025-10-08T00:40:23.988-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.aop.config.internalAutoProxyCreator'
2025-10-08T00:40:24.003-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'persistenceExceptionTranslationPostProcessor'
2025-10-08T00:40:24.004-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'persistenceExceptionTranslationPostProcessor' via factory method to bean named 'environment'
2025-10-08T00:40:24.006-05:00 DEBUG 1028 --- [TP-Grupo4-Ecotrack] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'webServerFactoryCustomizerBeanPostProcessor'
